data_kind,scenario,ambient_temp_c,humidity,heat_index,mq135_relative,rain_1h,rain_24h,rain_72h,intensity,trend,label,label_name
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
DEMO DATA,normal,30.0,65.0,38.25,1.0,0.5,8.0,25.0,0.5,0.0,0,LOW
