data_kind,location,date,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,intensity,trend,label
DEMO DATA,Chennai,2020-01-01,1.35,2.13,2.34,2.23,2.13,5.38,18.26,1.35,-0.02,0
DEMO DATA,Chennai,2020-02-02,3.52,9.82,19.06,21.27,20.26,21.07,28.78,3.52,-0.9,0
DEMO DATA,Chennai,2020-03-03,2.95,8.16,13.6,21.91,20.87,30.76,36.37,2.95,-0.33,0
DEMO DATA,Chennai,2020-04-04,2.05,5.08,9.62,9.18,8.75,11.15,22.8,2.05,-0.83,0
DEMO DATA,Chennai,2020-05-05,2.08,5.47,8.56,14.87,14.96,16.08,29.51,2.08,-0.47,0
DEMO DATA,Chennai,2020-06-06,0.47,0.47,0.52,0.5,0.47,10.18,19.44,3.48,0.07,0
DEMO DATA,Chennai,2020-07-07,2.26,2.26,2.49,2.37,2.26,5.0,6.75,3.38,0.73,0
DEMO DATA,Chennai,2020-08-08,1.0,2.98,6.54,11.02,14.74,24.23,32.56,1.0,-0.29,0
DEMO DATA,Chennai,2020-09-09,1.98,4.92,9.48,16.68,22.41,22.86,25.45,1.98,-0.58,0
DEMO DATA,Chennai,2020-10-10,1.14,1.14,1.25,1.19,1.14,5.92,20.14,2.59,0.78,0
DEMO DATA,Chennai,2020-11-11,2.08,5.61,11.09,16.36,23.42,24.94,38.56,2.08,-0.97,0
DEMO DATA,Chennai,2020-12-12,0.48,0.48,0.53,0.51,0.48,1.79,4.69,1.85,-0.36,0
DEMO DATA,Chennai,2020-01-13,2.81,6.83,7.52,7.18,6.83,11.34,23.51,2.81,-0.24,0
DEMO DATA,Chennai,2020-02-14,1.87,5.26,10.87,18.74,18.96,28.9,33.82,1.87,0.07,0
DEMO DATA,Chennai,2020-03-15,1.54,4.22,7.26,12.05,14.33,21.4,26.62,1.54,1.0,0
DEMO DATA,Chennai,2020-04-16,1.44,3.31,7.07,11.74,19.77,23.02,28.77,1.44,0.12,0
DEMO DATA,Chennai,2020-05-17,2.25,5.85,9.57,16.82,21.11,26.88,33.34,2.25,-0.48,0
DEMO DATA,Chennai,2020-06-18,2.93,6.46,10.02,16.07,16.56,19.79,26.63,2.93,-0.17,0
DEMO DATA,Chennai,2020-07-19,1.49,1.49,1.64,1.56,1.49,5.65,8.67,2.08,-0.47,0
DEMO DATA,Chennai,2020-08-20,1.55,4.57,6.36,6.08,5.79,10.45,19.84,1.55,0.99,0
DEMO DATA,Chennai,2020-09-21,2.12,3.05,3.35,3.2,3.05,6.36,19.27,2.12,-0.16,0
DEMO DATA,Chennai,2020-10-22,2.99,7.69,14.63,15.3,14.58,16.49,21.34,2.99,-0.97,0
DEMO DATA,Chennai,2020-11-23,3.25,4.42,4.86,4.64,4.42,13.02,27.08,3.25,-0.8,0
DEMO DATA,Chennai,2020-12-24,2.46,2.46,2.71,2.59,2.46,7.16,9.59,3.63,0.2,0
DEMO DATA,Chennai,2020-01-25,3.86,11.45,13.8,13.17,12.55,18.08,22.39,3.86,0.33,0
DEMO DATA,Chennai,2020-02-26,3.55,8.41,9.45,9.02,8.59,10.4,14.23,3.55,-0.42,0
DEMO DATA,Chennai,2020-03-27,0.06,0.16,0.28,0.41,10.32,17.99,29.38,0.06,0.27,0
DEMO DATA,Chennai,2020-04-01,2.17,6.03,12.53,19.19,24.56,32.63,32.89,2.17,0.48,0
DEMO DATA,Chennai,2020-05-02,0.5,1.46,2.35,4.03,19.29,23.85,25.54,0.5,-0.85,0
DEMO DATA,Chennai,2020-06-03,1.45,4.03,7.28,11.22,12.65,20.81,31.79,1.45,-0.82,0
DEMO DATA,Chennai,2020-07-04,1.37,3.07,5.76,9.3,14.25,22.35,23.23,1.37,-0.39,0
DEMO DATA,Chennai,2020-08-05,2.36,5.31,8.05,13.94,13.41,20.44,21.57,2.36,0.78,0
DEMO DATA,Chennai,2020-09-06,0.89,2.48,4.43,7.56,24.66,26.35,27.66,0.89,-0.84,0
DEMO DATA,Chennai,2020-10-07,0.33,0.33,0.36,0.34,0.33,2.47,14.72,0.52,-0.81,0
DEMO DATA,Chennai,2020-11-08,3.02,8.86,14.59,14.64,13.94,16.08,25.16,3.02,0.88,0
DEMO DATA,Chennai,2020-12-09,1.24,3.18,6.44,8.51,21.22,24.22,34.99,1.24,-0.06,0
DEMO DATA,Chennai,2020-01-10,0.07,0.16,0.32,0.57,19.84,25.22,40.1,0.07,0.04,0
DEMO DATA,Chennai,2020-02-11,3.33,9.6,10.78,10.29,9.8,19.6,29.25,3.33,0.41,0
DEMO DATA,Chennai,2020-03-12,2.48,2.48,2.72,2.6,2.48,12.36,22.71,2.69,0.68,0
DEMO DATA,Chennai,2020-04-13,0.23,0.23,0.26,0.24,0.23,9.34,10.06,2.42,0.46,0
DEMO DATA,Chennai,2020-05-14,34.66,81.32,160.94,153.63,146.31,158.35,192.56,34.66,0.63,1
DEMO DATA,Chennai,2020-06-15,32.17,75.53,103.75,99.04,94.32,98.82,122.36,32.17,2.96,1
DEMO DATA,Chennai,2020-07-16,33.94,74.67,130.06,179.5,176.24,195.24,230.04,33.94,0.29,1
DEMO DATA,Chennai,2020-08-17,25.45,72.97,141.5,145.93,138.98,161.86,211.31,25.45,7.56,1
DEMO DATA,Chennai,2020-09-18,32.87,79.75,151.37,144.49,137.61,151.95,160.61,32.87,5.74,1
DEMO DATA,Chennai,2020-10-19,27.95,82.97,126.95,121.18,115.41,133.51,136.15,27.95,3.89,1
DEMO DATA,Chennai,2020-11-20,17.51,46.21,78.55,74.98,71.41,88.02,113.98,17.51,0.97,1
DEMO DATA,Chennai,2020-12-21,39.48,89.99,153.59,146.61,139.63,159.34,182.14,39.48,4.34,1
DEMO DATA,Chennai,2020-01-22,34.37,90.92,125.02,119.34,113.65,136.84,153.75,34.37,7.07,1
DEMO DATA,Chennai,2020-02-23,31.56,70.86,84.14,80.32,76.49,87.61,115.57,31.56,5.25,1
DEMO DATA,Chennai,2020-03-24,32.42,88.66,162.8,170.0,161.9,163.32,204.23,32.42,-0.24,1
DEMO DATA,Chennai,2020-04-25,16.84,48.67,86.3,114.14,108.71,111.72,125.91,16.84,4.14,1
DEMO DATA,Chennai,2020-05-26,20.75,52.62,87.29,146.64,158.41,174.11,200.72,20.75,3.63,1
DEMO DATA,Chennai,2020-06-27,12.43,31.38,60.81,91.68,177.59,212.19,244.02,12.43,5.53,1
DEMO DATA,Chennai,2020-07-01,16.19,43.95,91.11,126.55,145.28,160.55,196.35,16.19,-0.16,1
DEMO DATA,Mumbai,2020-01-01,2.53,6.5,13.85,19.31,18.39,19.48,34.17,2.53,0.29,0
DEMO DATA,Mumbai,2020-02-02,2.15,2.15,2.36,2.25,2.15,10.08,24.13,3.44,-0.32,0
DEMO DATA,Mumbai,2020-03-03,1.3,3.01,4.57,8.01,24.51,26.68,36.34,1.3,0.93,0
DEMO DATA,Mumbai,2020-04-04,0.96,2.59,4.91,8.19,11.16,13.88,17.7,0.96,-0.6,0
DEMO DATA,Mumbai,2020-05-05,2.87,8.51,10.98,10.48,9.98,19.09,32.83,2.87,-0.11,0
DEMO DATA,Mumbai,2020-06-06,0.69,1.95,3.28,5.61,5.34,11.75,26.69,0.69,0.54,0
DEMO DATA,Mumbai,2020-07-07,0.9,2.17,3.3,5.57,23.97,33.64,43.58,0.9,-0.84,0
DEMO DATA,Mumbai,2020-08-08,3.4,7.79,16.25,17.35,16.53,20.3,24.69,3.4,-0.42,0
DEMO DATA,Mumbai,2020-09-09,3.5,4.97,5.46,5.21,4.97,13.47,20.07,3.5,0.1,0
DEMO DATA,Mumbai,2020-10-10,1.65,4.65,8.79,12.67,17.95,24.55,33.14,1.65,0.98,0
DEMO DATA,Mumbai,2020-11-11,2.08,4.96,10.76,11.35,10.81,13.32,13.61,2.08,-0.21,0
DEMO DATA,Mumbai,2020-12-12,3.18,8.91,17.54,20.9,19.9,27.26,36.13,3.18,-0.82,0
DEMO DATA,Mumbai,2020-01-13,0.17,0.4,0.73,1.17,14.81,15.84,28.61,0.17,0.64,0
DEMO DATA,Mumbai,2020-02-14,3.68,6.66,7.32,6.99,6.66,14.72,17.39,3.68,0.8,0
DEMO DATA,Mumbai,2020-03-15,0.52,1.26,2.11,3.34,7.29,7.63,13.43,0.52,0.27,0
DEMO DATA,Mumbai,2020-04-16,2.86,6.85,11.15,13.55,12.91,16.7,23.09,2.86,0.14,0
DEMO DATA,Mumbai,2020-05-17,1.84,4.43,7.19,11.31,10.77,13.74,28.26,1.84,-0.11,0
DEMO DATA,Mumbai,2020-06-18,2.47,6.38,11.86,12.08,11.51,21.08,22.81,2.47,0.09,0
DEMO DATA,Mumbai,2020-07-19,1.49,3.69,5.57,9.28,13.32,20.01,30.4,1.49,0.81,0
DEMO DATA,Mumbai,2020-08-20,1.09,2.81,4.48,5.8,5.53,6.84,10.5,1.09,0.31,0
DEMO DATA,Mumbai,2020-09-21,1.73,4.03,8.12,8.25,7.86,10.73,15.99,1.73,0.16,0
DEMO DATA,Mumbai,2020-10-22,0.54,1.22,2.21,3.65,13.39,14.47,20.98,0.54,0.39,0
DEMO DATA,Mumbai,2020-11-23,1.4,3.5,6.99,10.92,18.43,26.2,33.48,1.4,-0.6,0
DEMO DATA,Mumbai,2020-12-24,1.1,2.67,3.53,3.37,3.21,5.58,6.58,1.1,-0.52,0
DEMO DATA,Mumbai,2020-01-25,1.79,4.76,6.5,6.21,5.91,8.3,14.05,1.79,-0.46,0
DEMO DATA,Mumbai,2020-02-26,2.01,2.01,2.21,2.11,2.01,4.15,12.26,2.05,0.13,0
DEMO DATA,Mumbai,2020-03-27,1.86,4.41,8.23,7.86,7.49,14.05,22.35,1.86,-0.65,0
DEMO DATA,Mumbai,2020-04-01,0.9,0.9,0.99,0.94,0.9,1.26,11.69,3.68,-0.96,0
DEMO DATA,Mumbai,2020-05-02,3.08,6.78,8.73,8.33,7.93,16.15,29.07,3.08,-0.88,0
DEMO DATA,Mumbai,2020-06-03,1.83,4.86,9.84,16.25,18.67,28.01,41.26,1.83,0.06,0
DEMO DATA,Mumbai,2020-07-04,3.49,8.47,14.78,20.1,21.36,28.22,41.1,3.49,-0.09,0
